"pathway","geneProduct","ensembl"
"https://identifiers.org/wikipathways/WP534_r128076","GLUT4","https://identifiers.org/ensembl/ENSG00000181856"
"https://identifiers.org/wikipathways/WP534_r128076","SLC2A4","https://identifiers.org/ensembl/ENSG00000181856"
"https://identifiers.org/wikipathways/WP534_r128076","GAPDH","https://identifiers.org/ensembl/ENSG00000111640"
"https://identifiers.org/wikipathways/WP534_r128076","DLAT","https://identifiers.org/ensembl/ENSG00000150768"
"https://identifiers.org/wikipathways/WP534_r128076","DLD","https://identifiers.org/ensembl/ENSG00000091140"
"https://identifiers.org/wikipathways/WP534_r128076","ENO1","https://identifiers.org/ensembl/ENSG00000074800"
"https://identifiers.org/wikipathways/WP534_r128076","ENO","https://identifiers.org/ensembl/ENSG00000074800"
"https://identifiers.org/wikipathways/WP534_r128076","ENO2","https://identifiers.org/ensembl/ENSG00000111674"
"https://identifiers.org/wikipathways/WP534_r128076","ENO3","https://identifiers.org/ensembl/ENSG00000108515"
"https://identifiers.org/wikipathways/WP534_r128076","FBP1","https://identifiers.org/ensembl/ENSG00000165140"
"https://identifiers.org/wikipathways/WP534_r128076","FBP","https://identifiers.org/ensembl/ENSG00000165140"
"https://identifiers.org/wikipathways/WP534_r128076","ALDOA","https://identifiers.org/ensembl/ENSG00000149925"
"https://identifiers.org/wikipathways/WP534_r128076","ALD","https://identifiers.org/ensembl/ENSG00000149925"
"https://identifiers.org/wikipathways/WP534_r128076","ALDOB","https://identifiers.org/ensembl/ENSG00000136872"
"https://identifiers.org/wikipathways/WP534_r128076","ALDOC","https://identifiers.org/ensembl/ENSG00000109107"
"https://identifiers.org/wikipathways/WP534_r128076","G6PC","https://identifiers.org/ensembl/ENSG00000131482"
"https://identifiers.org/wikipathways/WP534_r128076","MPC2","https://identifiers.org/ensembl/ENSG00000143158"
"https://identifiers.org/wikipathways/WP534_r128076","GCK","https://identifiers.org/ensembl/ENSG00000106633"
"https://identifiers.org/wikipathways/WP534_r128076","GOT1","https://identifiers.org/ensembl/ENSG00000120053"
"https://identifiers.org/wikipathways/WP534_r128076","GOT2","https://identifiers.org/ensembl/ENSG00000125166"
"https://identifiers.org/wikipathways/WP534_r128076","GPI","https://identifiers.org/ensembl/ENSG00000105220"
"https://identifiers.org/wikipathways/WP534_r128076","Enzyme","https://identifiers.org/ensembl/ENSG00000105220"
"https://identifiers.org/wikipathways/WP534_r128076","HK1","https://identifiers.org/ensembl/ENSG00000156515"
"https://identifiers.org/wikipathways/WP534_r128076","HK","https://identifiers.org/ensembl/ENSG00000156515"
"https://identifiers.org/wikipathways/WP534_r128076","Hexokinase","https://identifiers.org/ensembl/ENSG00000156515"
"https://identifiers.org/wikipathways/WP534_r128076","HK2","https://identifiers.org/ensembl/ENSG00000159399"
"https://identifiers.org/wikipathways/WP534_r128076","HK3","https://identifiers.org/ensembl/ENSG00000160883"
"https://identifiers.org/wikipathways/WP534_r128076","LDHA","https://identifiers.org/ensembl/ENSG00000134333"
"https://identifiers.org/wikipathways/WP534_r128076","LDH","https://identifiers.org/ensembl/ENSG00000134333"
"https://identifiers.org/wikipathways/WP534_r128076","LDHB","https://identifiers.org/ensembl/ENSG00000111716"
"https://identifiers.org/wikipathways/WP534_r128076","LDHC","https://identifiers.org/ensembl/ENSG00000166796"
"https://identifiers.org/wikipathways/WP534_r128076","MDH1","https://identifiers.org/ensembl/ENSG00000014641"
"https://identifiers.org/wikipathways/WP534_r128076","MDH2","https://identifiers.org/ensembl/ENSG00000146701"
"https://identifiers.org/wikipathways/WP534_r128076","PC","https://identifiers.org/ensembl/ENSG00000173599"
"https://identifiers.org/wikipathways/WP534_r128076","PCK1","https://identifiers.org/ensembl/ENSG00000124253"
"https://identifiers.org/wikipathways/WP534_r128076","PEPCK","https://identifiers.org/ensembl/ENSG00000124253"
"https://identifiers.org/wikipathways/WP534_r128076","PDHA1","https://identifiers.org/ensembl/ENSG00000131828"
"https://identifiers.org/wikipathways/WP534_r128076","MPC1","https://identifiers.org/ensembl/ENSG00000060762"
"https://identifiers.org/wikipathways/WP534_r128076","PFKL","https://identifiers.org/ensembl/ENSG00000141959"
"https://identifiers.org/wikipathways/WP534_r128076","PFKM","https://identifiers.org/ensembl/ENSG00000152556"
"https://identifiers.org/wikipathways/WP534_r128076","PFK","https://identifiers.org/ensembl/ENSG00000152556"
"https://identifiers.org/wikipathways/WP534_r128076","PFKP","https://identifiers.org/ensembl/ENSG00000067057"
"https://identifiers.org/wikipathways/WP534_r128076","PGAM1","https://identifiers.org/ensembl/ENSG00000171314"
"https://identifiers.org/wikipathways/WP534_r128076","PGAM2","https://identifiers.org/ensembl/ENSG00000164708"
"https://identifiers.org/wikipathways/WP534_r128076","PGM","https://identifiers.org/ensembl/ENSG00000164708"
"https://identifiers.org/wikipathways/WP534_r128076","PGK1","https://identifiers.org/ensembl/ENSG00000102144"
"https://identifiers.org/wikipathways/WP534_r128076","PGK","https://identifiers.org/ensembl/ENSG00000102144"
"https://identifiers.org/wikipathways/WP534_r128076","PGK2","https://identifiers.org/ensembl/ENSG00000170950"
