"pathway","geneProduct","ensembl"
"https://identifiers.org/wikipathways/WP4921_r116643","UQCRC1","https://identifiers.org/ensembl/ENSG00000010256"
"https://identifiers.org/wikipathways/WP4921_r116643","BCS1KL","https://identifiers.org/ensembl/ENSG00000074582"
"https://identifiers.org/wikipathways/WP4921_r116643","BCS1L","https://identifiers.org/ensembl/ENSG00000074582"
"https://identifiers.org/wikipathways/WP4921_r116643","UQCC1","https://identifiers.org/ensembl/ENSG00000101019"
"https://identifiers.org/wikipathways/WP4921_r116643","UQCR11","https://identifiers.org/ensembl/ENSG00000127540"
"https://identifiers.org/wikipathways/WP4921_r116643","UQCRC2","https://identifiers.org/ensembl/ENSG00000140740"
"https://identifiers.org/wikipathways/WP4921_r116643","UQCRB","https://identifiers.org/ensembl/ENSG00000156467"
"https://identifiers.org/wikipathways/WP4921_r116643","UQCRQ","https://identifiers.org/ensembl/ENSG00000164405"
"https://identifiers.org/wikipathways/WP4921_r116643","UQCRFS1","https://identifiers.org/ensembl/ENSG00000169021"
"https://identifiers.org/wikipathways/WP4921_r116643","UQCRH","https://identifiers.org/ensembl/ENSG00000173660"
"https://identifiers.org/wikipathways/WP4921_r116643","UQCR10","https://identifiers.org/ensembl/ENSG00000184076"
"https://identifiers.org/wikipathways/WP4921_r116643","MT-CYB","https://identifiers.org/ensembl/ENSG00000198727"
"https://identifiers.org/wikipathways/WP4921_r116643","TTC19","https://identifiers.org/ensembl/ENSG00000011295"
"https://identifiers.org/wikipathways/WP4921_r116643","UQCC2","https://identifiers.org/ensembl/ENSG00000137288"
"https://identifiers.org/wikipathways/WP4921_r116643","CYC1","https://identifiers.org/ensembl/ENSG00000179091"
"https://identifiers.org/wikipathways/WP4921_r116643","LYRM7","https://identifiers.org/ensembl/ENSG00000186687"
"https://identifiers.org/wikipathways/WP4921_r116643","UQCC3","https://identifiers.org/ensembl/ENSG00000204922"
