"pathway","geneProduct","ensembl"
"https://identifiers.org/wikipathways/WP477_r117044","RPS6","https://identifiers.org/ensembl/ENSG00000137154"
"https://identifiers.org/wikipathways/WP477_r117044","RPS6KB1","https://identifiers.org/ensembl/ENSG00000108443"
"https://identifiers.org/wikipathways/WP477_r117044","RPS6KA6","https://identifiers.org/ensembl/ENSG00000072133"
"https://identifiers.org/wikipathways/WP477_r117044","RPL10","https://identifiers.org/ensembl/ENSG00000147403"
"https://identifiers.org/wikipathways/WP477_r117044","UBA52","https://identifiers.org/ensembl/ENSG00000221983"
"https://identifiers.org/wikipathways/WP477_r117044","RPL38","https://identifiers.org/ensembl/ENSG00000172809"
"https://identifiers.org/wikipathways/WP477_r117044","RPS6KA1","https://identifiers.org/ensembl/ENSG00000117676"
"https://identifiers.org/wikipathways/WP477_r117044","RPS6KA2","https://identifiers.org/ensembl/ENSG00000071242"
"https://identifiers.org/wikipathways/WP477_r117044","RPS6KA3","https://identifiers.org/ensembl/ENSG00000177189"
"https://identifiers.org/wikipathways/WP477_r117044","RPS6KB2","https://identifiers.org/ensembl/ENSG00000175634"
"https://identifiers.org/wikipathways/WP477_r117044","RPL35","https://identifiers.org/ensembl/ENSG00000136942"
"https://identifiers.org/wikipathways/WP477_r117044","FAU","https://identifiers.org/ensembl/ENSG00000149806"
"https://identifiers.org/wikipathways/WP477_r117044","RPL13A","https://identifiers.org/ensembl/ENSG00000142541"
"https://identifiers.org/wikipathways/WP477_r117044","RPL36","https://identifiers.org/ensembl/ENSG00000130255"
"https://identifiers.org/wikipathways/WP477_r117044","RPSA","https://identifiers.org/ensembl/ENSG00000168028"
"https://identifiers.org/wikipathways/WP477_r117044","RPL10A","https://identifiers.org/ensembl/ENSG00000198755"
"https://identifiers.org/wikipathways/WP477_r117044","RPL3","https://identifiers.org/ensembl/ENSG00000100316"
"https://identifiers.org/wikipathways/WP477_r117044","RPL3L","https://identifiers.org/ensembl/ENSG00000140986"
"https://identifiers.org/wikipathways/WP477_r117044","RPL4","https://identifiers.org/ensembl/ENSG00000174444"
"https://identifiers.org/wikipathways/WP477_r117044","RPL5","https://identifiers.org/ensembl/ENSG00000122406"
"https://identifiers.org/wikipathways/WP477_r117044","RPL6","https://identifiers.org/ensembl/ENSG00000089009"
"https://identifiers.org/wikipathways/WP477_r117044","RPL7","https://identifiers.org/ensembl/ENSG00000147604"
"https://identifiers.org/wikipathways/WP477_r117044","RPL7A","https://identifiers.org/ensembl/ENSG00000148303"
"https://identifiers.org/wikipathways/WP477_r117044","RPL8","https://identifiers.org/ensembl/ENSG00000161016"
"https://identifiers.org/wikipathways/WP477_r117044","RPL9","https://identifiers.org/ensembl/ENSG00000163682"
"https://identifiers.org/wikipathways/WP477_r117044","RPL11","https://identifiers.org/ensembl/ENSG00000142676"
"https://identifiers.org/wikipathways/WP477_r117044","RPL12","https://identifiers.org/ensembl/ENSG00000197958"
"https://identifiers.org/wikipathways/WP477_r117044","RPL13","https://identifiers.org/ensembl/ENSG00000167526"
"https://identifiers.org/wikipathways/WP477_r117044","RPL15","https://identifiers.org/ensembl/ENSG00000174748"
"https://identifiers.org/wikipathways/WP477_r117044","RPL17","https://identifiers.org/ensembl/ENSG00000265681"
"https://identifiers.org/wikipathways/WP477_r117044","RPL18","https://identifiers.org/ensembl/ENSG00000063177"
"https://identifiers.org/wikipathways/WP477_r117044","RPL18A","https://identifiers.org/ensembl/ENSG00000105640"
"https://identifiers.org/wikipathways/WP477_r117044","RPL19","https://identifiers.org/ensembl/ENSG00000108298"
"https://identifiers.org/wikipathways/WP477_r117044","RPL21","https://identifiers.org/ensembl/ENSG00000122026"
"https://identifiers.org/wikipathways/WP477_r117044","RPL22","https://identifiers.org/ensembl/ENSG00000116251"
"https://identifiers.org/wikipathways/WP477_r117044","RPL23A","https://identifiers.org/ensembl/ENSG00000198242"
"https://identifiers.org/wikipathways/WP477_r117044","RPL24","https://identifiers.org/ensembl/ENSG00000114391"
"https://identifiers.org/wikipathways/WP477_r117044","RPL26","https://identifiers.org/ensembl/ENSG00000161970"
"https://identifiers.org/wikipathways/WP477_r117044","RPL27","https://identifiers.org/ensembl/ENSG00000131469"
"https://identifiers.org/wikipathways/WP477_r117044","RPL30","https://identifiers.org/ensembl/ENSG00000156482"
"https://identifiers.org/wikipathways/WP477_r117044","Rpl30","https://identifiers.org/ensembl/ENSG00000156482"
"https://identifiers.org/wikipathways/WP477_r117044","RPL27A","https://identifiers.org/ensembl/ENSG00000166441"
"https://identifiers.org/wikipathways/WP477_r117044","RPL28","https://identifiers.org/ensembl/ENSG00000108107"
"https://identifiers.org/wikipathways/WP477_r117044","RPL29","https://identifiers.org/ensembl/ENSG00000162244"
"https://identifiers.org/wikipathways/WP477_r117044","RPL31","https://identifiers.org/ensembl/ENSG00000071082"
"https://identifiers.org/wikipathways/WP477_r117044","RPL32","https://identifiers.org/ensembl/ENSG00000144713"
"https://identifiers.org/wikipathways/WP477_r117044","RPL34","https://identifiers.org/ensembl/ENSG00000109475"
"https://identifiers.org/wikipathways/WP477_r117044","RPL35A","https://identifiers.org/ensembl/ENSG00000182899"
"https://identifiers.org/wikipathways/WP477_r117044","RPL37","https://identifiers.org/ensembl/ENSG00000145592"
"https://identifiers.org/wikipathways/WP477_r117044","RPL37A","https://identifiers.org/ensembl/ENSG00000197756"
"https://identifiers.org/wikipathways/WP477_r117044","RPL39","https://identifiers.org/ensembl/ENSG00000198918"
"https://identifiers.org/wikipathways/WP477_r117044","RPL41","https://identifiers.org/ensembl/ENSG00000229117"
"https://identifiers.org/wikipathways/WP477_r117044","RPL36A","https://identifiers.org/ensembl/ENSG00000241343"
"https://identifiers.org/wikipathways/WP477_r117044","RPLP0","https://identifiers.org/ensembl/ENSG00000089157"
"https://identifiers.org/wikipathways/WP477_r117044","RPLP1","https://identifiers.org/ensembl/ENSG00000137818"
"https://identifiers.org/wikipathways/WP477_r117044","RPLP2","https://identifiers.org/ensembl/ENSG00000177600"
"https://identifiers.org/wikipathways/WP477_r117044","RPS2","https://identifiers.org/ensembl/ENSG00000140988"
"https://identifiers.org/wikipathways/WP477_r117044","RPS3","https://identifiers.org/ensembl/ENSG00000149273"
"https://identifiers.org/wikipathways/WP477_r117044","RPS3A","https://identifiers.org/ensembl/ENSG00000145425"
"https://identifiers.org/wikipathways/WP477_r117044","RPS4X","https://identifiers.org/ensembl/ENSG00000198034"
"https://identifiers.org/wikipathways/WP477_r117044","RPS4Y1","https://identifiers.org/ensembl/ENSG00000129824"
"https://identifiers.org/wikipathways/WP477_r117044","RPS5","https://identifiers.org/ensembl/ENSG00000083845"
"https://identifiers.org/wikipathways/WP477_r117044","RPS7","https://identifiers.org/ensembl/ENSG00000171863"
"https://identifiers.org/wikipathways/WP477_r117044","RPS8","https://identifiers.org/ensembl/ENSG00000142937"
"https://identifiers.org/wikipathways/WP477_r117044","RPS9","https://identifiers.org/ensembl/ENSG00000170889"
"https://identifiers.org/wikipathways/WP477_r117044","RPS10","https://identifiers.org/ensembl/ENSG00000124614"
"https://identifiers.org/wikipathways/WP477_r117044","RPS11","https://identifiers.org/ensembl/ENSG00000142534"
"https://identifiers.org/wikipathways/WP477_r117044","RPS12","https://identifiers.org/ensembl/ENSG00000112306"
"https://identifiers.org/wikipathways/WP477_r117044","RPS13","https://identifiers.org/ensembl/ENSG00000110700"
"https://identifiers.org/wikipathways/WP477_r117044","RPS14","https://identifiers.org/ensembl/ENSG00000164587"
"https://identifiers.org/wikipathways/WP477_r117044","RPS15","https://identifiers.org/ensembl/ENSG00000115268"
"https://identifiers.org/wikipathways/WP477_r117044","RPS15A","https://identifiers.org/ensembl/ENSG00000134419"
"https://identifiers.org/wikipathways/WP477_r117044","RPS16","https://identifiers.org/ensembl/ENSG00000105193"
"https://identifiers.org/wikipathways/WP477_r117044","RPS17","https://identifiers.org/ensembl/ENSG00000182774"
"https://identifiers.org/wikipathways/WP477_r117044","RPS18","https://identifiers.org/ensembl/ENSG00000231500"
"https://identifiers.org/wikipathways/WP477_r117044","RPS19","https://identifiers.org/ensembl/ENSG00000105372"
"https://identifiers.org/wikipathways/WP477_r117044","RPS20","https://identifiers.org/ensembl/ENSG00000008988"
"https://identifiers.org/wikipathways/WP477_r117044","RPS21","https://identifiers.org/ensembl/ENSG00000171858"
"https://identifiers.org/wikipathways/WP477_r117044","RPS23","https://identifiers.org/ensembl/ENSG00000186468"
"https://identifiers.org/wikipathways/WP477_r117044","RPS24","https://identifiers.org/ensembl/ENSG00000138326"
"https://identifiers.org/wikipathways/WP477_r117044","RPS25","https://identifiers.org/ensembl/ENSG00000118181"
"https://identifiers.org/wikipathways/WP477_r117044","RPS26","https://identifiers.org/ensembl/ENSG00000197728"
"https://identifiers.org/wikipathways/WP477_r117044","RPS27","https://identifiers.org/ensembl/ENSG00000177954"
"https://identifiers.org/wikipathways/WP477_r117044","RPS27A","https://identifiers.org/ensembl/ENSG00000143947"
"https://identifiers.org/wikipathways/WP477_r117044","RPS28","https://identifiers.org/ensembl/ENSG00000233927"
"https://identifiers.org/wikipathways/WP477_r117044","RPS29","https://identifiers.org/ensembl/ENSG00000213741"
