rownames.dat.	modules	genes
1	samples	R37TaceP16t
2	samples	R38TaceP16t
3	samples	R10TaceP10t
4	samples	R09TaceP10t
5	samples	R12TaceP15t
6	samples	L71ElcdP22g
7	samples	L80ElcdP29g
8	samples	L80ElcdP14g
9	samples	L80ElcdP11g
10	samples	L80ElcdP12g.2
11	samples	L80ElcdP21g
12	samples	L80ElcdP21c
13	samples	L80ElcdP12g
14	samples	L71ElcdP10g
15	samples	L71ElcdP11g
16	samples	L71ElcdP14g
17	samples	L80ElcdPukc
18	samples	L80ElcdP20c
19	samples	L80ElcdP21c.2
20	samples	AV11aveP18g.P.2
21	samples	AV12aveP20g.P.2
22	samples	AV11aveP18g.d1
23	samples	AV11aveP18g.d2
24	samples	AV11aveP18g.d3
25	samples	AV12aveP20g.d1
26	samples	AV12aveP20g.d3
27	samples	AV12aveP20g.d5
28	samples	AV12aveP20g.d2
29	samples	AV11aveP18g.d4
30	samples	AV11aveP18g.d5
31	samples	M2A8t2iP22g
32	samples	M2A8pxgP46c
33	samples	M2A8t2iP39c
34	samples	M8A9t2iP30g
35	samples	HNE1t2iPukg
36	samples	L8A2t2iPukg
37	samples	8A10t2iP11g
38	samples	M2A8pxgP37c
39	samples	M2A8t2iP37c
40	samples	M2A8t2iP26g
41	samples	M2A8t2iP29g
42	samples	M2A9t2iP30g
43	samples	HNE1t2iP40g.2
44	samples	HNE1t2iP40g
45	samples	M8A9t2iP29g
46	samples	M8A9t2iP31g
47	samples	L8A2t2iP18g
48	samples	L8A2t2iP26g
49	samples	AV21aveP00g
50	samples	L8A2aveP15g.d2
51	samples	L8A2aveP15g.P.2
52	samples	AV22aveP18g.d1
53	samples	AV22aveP18g.d5
54	samples	AV22aveP18g.d3
55	samples	AV22aveP18g.d2
56	samples	AV22aveP18g.d4
57	samples	AV22aveP18g.P.2
58	samples	AV24aveP22g.P.2
59	samples	AV24aveP22g.d1
60	samples	AV24aveP22g.d2
61	samples	AV24aveP22g.d3
62	samples	AV24aveP22g.d4
63	samples	AV24aveP22g.d5
64	samples	H9PPbewP40g
65	samples	H9PPbewP48g
66	samples	L8B1bewP19g
67	samples	L8K1ksrP18g
68	samples	L8K1ksrP18g.convprimtoaveinitial
69	samples	H9PPksrP41g
70	samples	L8K1ksrP21g
71	samples	M2B7mt1P20c
72	samples	M2B7e08P20c
73	samples	M2B7mt1P16c
74	samples	M2A8telD02c.a
75	samples	M2A8telD04c.e
76	samples	M2A8telD06c.j
77	samples	M2A8telD05c.d
78	samples	M2A8telD04c.b
79	samples	M2A8telD06c.l
80	samples	M2A8telD05c.f
81	samples	M2A8telD06c.f
82	samples	M2A8telD06c.g
83	samples	M2A8telD02c.c
84	samples	M2A8telD03c.c
85	samples	M2A8telD03c.d
86	samples	M2A8telD05c.b
87	samples	M2A8telD05c.e
88	samples	M2A8telD06c.e
89	samples	M2A8telD06c.b
90	samples	M2A8telD03c.e
91	samples	M2A8telD04c.d
92	samples	M2A8telD03c.a
93	samples	M2A8telD06c.a
94	samples	M2A8telD04c.a
95	samples	M2A8telD05c.c
96	samples	M2A8telD05c.a
97	samples	M2A8telD06c.d
98	samples	AV22aveP18g.P.7
99	samples	AV22aveP18g.P.13
100	samples	AV23aveP23g
101	samples	AV11aveP18g.P.9
102	samples	AV03aveP14g.2
103	samples	AV21aveP05g
104	samples	BL01avePuko
105	samples	CT01avePuko
106	samples	CT02avePuko
107	samples	AV03aveP22g
108	samples	BL01aveP10o.2
109	samples	AV01aveP19g.2
110	samples	AV11aveP18g.P.3
111	samples	AV11aveP18g.P.5
112	samples	BL02aveP10o.2
113	samples	CT02aveP10o.2
114	samples	CT01aveP10o.2
115	samples	CT30aveP17c
116	samples	AV03aveP30c
117	samples	CT30aveP22c
118	samples	BJ01aveP13g
119	samples	AV23aveP18c
120	samples	AV23aveP90g.fbn
121	samples	AV23aveP25c
122	samples	AV24aveP22g.P.3
123	samples	AV01aveP15g.2
124	samples	AV03aveP14g.1
125	samples	AV03aveP10g
126	samples	AV01aveP19g.1
127	samples	AV02aveP16g
128	samples	AV22aveP18g.P.3
129	samples	AV22aveP18g.P.5
130	samples	AV23aveP22g.1
131	samples	AV23aveP22g.2
132	samples	AV23aveP22g.3
133	samples	AV24aveP22g.P.5
134	samples	M8A9aveP06g
135	samples	AV23aveP23c
136	samples	AV23aveP30g.fbn
137	samples	AV23aveP44g
138	samples	AV23aveP83g.fbn
139	samples	AV03avePukg.fbn
140	samples	AV03aveP87g
141	samples	CT01aveP10o
142	samples	AV11aveP05g
143	samples	BJ01aveP15g
144	samples	AV01aveP15g.1
145	samples	AV01aveP20g
146	samples	AV01aveP09g
147	samples	AV03aveP35c
148	samples	CT30aveP73g
149	samples	CT30aveP88g
150	samples	CT30aveP38g
151	samples	AV03aveP19g
152	samples	CT30aveP24c
153	samples	CT30aveP71g
154	samples	CT30aveP25g
