"pathway","geneProduct","ensembl"
"https://identifiers.org/wikipathways/WP623_r107189","MT-ATP8","https://identifiers.org/ensembl/ENSG00000198744"
"https://identifiers.org/wikipathways/WP623_r107189","ATP6AP2","https://identifiers.org/ensembl/ENSG00000182220"
"https://identifiers.org/wikipathways/WP623_r107189","GZMB","https://identifiers.org/ensembl/ENSG00000100453"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFA4L2","https://identifiers.org/ensembl/ENSG00000185633"
"https://identifiers.org/wikipathways/WP623_r107189","NUOMS","https://identifiers.org/ensembl/ENSG00000185633"
"https://identifiers.org/wikipathways/WP623_r107189","ATP6AP1","https://identifiers.org/ensembl/ENSG00000071553"
"https://identifiers.org/wikipathways/WP623_r107189","ATP6","https://identifiers.org/ensembl/ENSG00000198899"
"https://identifiers.org/wikipathways/WP623_r107189","MT-ATP6","https://identifiers.org/ensembl/ENSG00000198899"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5H","https://identifiers.org/ensembl/ENSG00000167863"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5L","https://identifiers.org/ensembl/ENSG00000167283"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFA11","https://identifiers.org/ensembl/ENSG00000174886"
"https://identifiers.org/wikipathways/WP623_r107189","ATP5S","https://identifiers.org/ensembl/ENSG00000125375"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFS7","https://identifiers.org/ensembl/ENSG00000115286"
"https://identifiers.org/wikipathways/WP623_r107189","ND1","https://identifiers.org/ensembl/ENSG00000198888"
"https://identifiers.org/wikipathways/WP623_r107189","ND2","https://identifiers.org/ensembl/ENSG00000198763"
"https://identifiers.org/wikipathways/WP623_r107189","ND3","https://identifiers.org/ensembl/ENSG00000198840"
"https://identifiers.org/wikipathways/WP623_r107189","ND4","https://identifiers.org/ensembl/ENSG00000198886"
"https://identifiers.org/wikipathways/WP623_r107189","ND4L","https://identifiers.org/ensembl/ENSG00000212907"
"https://identifiers.org/wikipathways/WP623_r107189","ND5","https://identifiers.org/ensembl/ENSG00000198786"
"https://identifiers.org/wikipathways/WP623_r107189","ND6","https://identifiers.org/ensembl/ENSG00000198695"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFA2","https://identifiers.org/ensembl/ENSG00000131495"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFA3","https://identifiers.org/ensembl/ENSG00000170906"
"https://identifiers.org/wikipathways/WP623_r107189","B9","https://identifiers.org/ensembl/ENSG00000170906"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFA4","https://identifiers.org/ensembl/ENSG00000189043"
"https://identifiers.org/wikipathways/WP623_r107189","NDUFA5","https://identifiers.org/ensembl/ENSG00000128609"
