"pathway","geneProduct","ensembl"
"https://identifiers.org/wikipathways/WP3527_r126527","BARX2","https://identifiers.org/ensembl/ENSG00000043039"
"https://identifiers.org/wikipathways/WP3527_r126527","KHSRP","https://identifiers.org/ensembl/ENSG00000088247"
"https://identifiers.org/wikipathways/WP3527_r126527","AQP9","https://identifiers.org/ensembl/ENSG00000103569"
"https://identifiers.org/wikipathways/WP3527_r126527","SIX3","https://identifiers.org/ensembl/ENSG00000138083"
"https://identifiers.org/wikipathways/WP3527_r126527","CELF3","https://identifiers.org/ensembl/ENSG00000159409"
"https://identifiers.org/wikipathways/WP3527_r126527","NLRP5","https://identifiers.org/ensembl/ENSG00000171487"
"https://identifiers.org/wikipathways/WP3527_r126527","TPRX1","https://identifiers.org/ensembl/ENSG00000178928"
"https://identifiers.org/wikipathways/WP3527_r126527","ZSCAN4","https://identifiers.org/ensembl/ENSG00000180532"
"https://identifiers.org/wikipathways/WP3527_r126527","ZAR1","https://identifiers.org/ensembl/ENSG00000182223"
"https://identifiers.org/wikipathways/WP3527_r126527","ARGFX","https://identifiers.org/ensembl/ENSG00000186103"
"https://identifiers.org/wikipathways/WP3527_r126527","DPRX","https://identifiers.org/ensembl/ENSG00000204595"
"https://identifiers.org/wikipathways/WP3527_r126527","NANOGNB","https://identifiers.org/ensembl/ENSG00000205857"
"https://identifiers.org/wikipathways/WP3527_r126527","LEUTX","https://identifiers.org/ensembl/ENSG00000213921"
"https://identifiers.org/wikipathways/WP3527_r126527","PADI6","https://identifiers.org/ensembl/ENSG00000276747"
"https://identifiers.org/wikipathways/WP3527_r126527","DLX2","https://identifiers.org/ensembl/ENSG00000115844"
"https://identifiers.org/wikipathways/WP3527_r126527","EGR1","https://identifiers.org/ensembl/ENSG00000120738"
"https://identifiers.org/wikipathways/WP3527_r126527","ZFP36","https://identifiers.org/ensembl/ENSG00000128016"
"https://identifiers.org/wikipathways/WP3527_r126527","MTA3","https://identifiers.org/ensembl/ENSG00000057935"
"https://identifiers.org/wikipathways/WP3527_r126527","MXD1","https://identifiers.org/ensembl/ENSG00000059728"
"https://identifiers.org/wikipathways/WP3527_r126527","BATF3","https://identifiers.org/ensembl/ENSG00000123685"
"https://identifiers.org/wikipathways/WP3527_r126527","ATP1A1","https://identifiers.org/ensembl/ENSG00000163399"
"https://identifiers.org/wikipathways/WP3527_r126527","CDX2","https://identifiers.org/ensembl/ENSG00000165556"
"https://identifiers.org/wikipathways/WP3527_r126527","GATA2","https://identifiers.org/ensembl/ENSG00000179348"
"https://identifiers.org/wikipathways/WP3527_r126527","ZFP36L2","https://identifiers.org/ensembl/ENSG00000152518"
"https://identifiers.org/wikipathways/WP3527_r126527","DPPA3","https://identifiers.org/ensembl/ENSG00000187569"
"https://identifiers.org/wikipathways/WP3527_r126527","TCF7L1","https://identifiers.org/ensembl/ENSG00000152284"
"https://identifiers.org/wikipathways/WP3527_r126527","SOX2","https://identifiers.org/ensembl/ENSG00000181449"
"https://identifiers.org/wikipathways/WP3527_r126527","HuR","https://identifiers.org/ensembl/ENSG00000066044"
"https://identifiers.org/wikipathways/WP3527_r126527","ELAVL1","https://identifiers.org/ensembl/ENSG00000066044"
"https://identifiers.org/wikipathways/WP3527_r126527","TEAD4","https://identifiers.org/ensembl/ENSG00000197905"
"https://identifiers.org/wikipathways/WP3527_r126527","FOXD1","https://identifiers.org/ensembl/ENSG00000251493"
"https://identifiers.org/wikipathways/WP3527_r126527","TFAP2B","https://identifiers.org/ensembl/ENSG00000008196"
"https://identifiers.org/wikipathways/WP3527_r126527","CDH1","https://identifiers.org/ensembl/ENSG00000039068"
"https://identifiers.org/wikipathways/WP3527_r126527","NANOG","https://identifiers.org/ensembl/ENSG00000111704"
"https://identifiers.org/wikipathways/WP3527_r126527","E2F5","https://identifiers.org/ensembl/ENSG00000133740"
"https://identifiers.org/wikipathways/WP3527_r126527","TBX3","https://identifiers.org/ensembl/ENSG00000135111"
"https://identifiers.org/wikipathways/WP3527_r126527","IRF4","https://identifiers.org/ensembl/ENSG00000137265"
"https://identifiers.org/wikipathways/WP3527_r126527","HMGA1","https://identifiers.org/ensembl/ENSG00000137309"
"https://identifiers.org/wikipathways/WP3527_r126527","ESRRA","https://identifiers.org/ensembl/ENSG00000173153"
"https://identifiers.org/wikipathways/WP3527_r126527","MYBL1","https://identifiers.org/ensembl/ENSG00000185697"
"https://identifiers.org/wikipathways/WP3527_r126527","POU5F1","https://identifiers.org/ensembl/ENSG00000204531"
"https://identifiers.org/wikipathways/WP3527_r126527","IRX5","https://identifiers.org/ensembl/ENSG00000176842"
"https://identifiers.org/wikipathways/WP3527_r126527","SOX8","https://identifiers.org/ensembl/ENSG00000005513"
"https://identifiers.org/wikipathways/WP3527_r126527","GATA3","https://identifiers.org/ensembl/ENSG00000107485"
"https://identifiers.org/wikipathways/WP3527_r126527","FOSB","https://identifiers.org/ensembl/ENSG00000125740"
"https://identifiers.org/wikipathways/WP3527_r126527","KLF4","https://identifiers.org/ensembl/ENSG00000136826"
"https://identifiers.org/wikipathways/WP3527_r126527","FOXQ1","https://identifiers.org/ensembl/ENSG00000164379"
"https://identifiers.org/wikipathways/WP3527_r126527","AQP3","https://identifiers.org/ensembl/ENSG00000165272"
"https://identifiers.org/wikipathways/WP3527_r126527","MOS","https://identifiers.org/ensembl/ENSG00000172680"
"https://identifiers.org/wikipathways/WP3527_r126527","DDIT3","https://identifiers.org/ensembl/ENSG00000175197"
"https://identifiers.org/wikipathways/WP3527_r126527","CHOP","https://identifiers.org/ensembl/ENSG00000175197"
"https://identifiers.org/wikipathways/WP3527_r126527","PBX1","https://identifiers.org/ensembl/ENSG00000185630"
"https://identifiers.org/wikipathways/WP3527_r126527","MIR302A","https://identifiers.org/ensembl/ENSG00000207927"
"https://identifiers.org/wikipathways/WP3527_r126527","H2AFY2","https://identifiers.org/ensembl/ENSG00000099284"
"https://identifiers.org/wikipathways/WP3527_r126527","HNRNPAB","https://identifiers.org/ensembl/ENSG00000197451"
"https://identifiers.org/wikipathways/WP3527_r126527","NKX2-1","https://identifiers.org/ensembl/ENSG00000136352"
"https://identifiers.org/wikipathways/WP3527_r126527","DNMT3L","https://identifiers.org/ensembl/ENSG00000142182"
"https://identifiers.org/wikipathways/WP3527_r126527","SMARCA4","https://identifiers.org/ensembl/ENSG00000127616"
"https://identifiers.org/wikipathways/WP3527_r126527","NR3C2","https://identifiers.org/ensembl/ENSG00000151623"
"https://identifiers.org/wikipathways/WP3527_r126527","SOX11","https://identifiers.org/ensembl/ENSG00000176887"
"https://identifiers.org/wikipathways/WP3527_r126527","ZFP42","https://identifiers.org/ensembl/ENSG00000179059"
